claim,sorted_cord_uids
individuals with hypertension get more serious cases of COVID-19,"['gwefujal', 'sgxs4tuq', 'j6hgkj2x', 'deovbb68', 'n4dgqo73', 'kumpi8l8', 'vsgviu8z', 'vfhggdob', 'ce01hla8', 'fbsrggog', 'z0m075wr', 'xp2dlrry', 'w1jwxymc', 'am5kvpfn', 'em5d25dr', '9guym4a9', 'swdojn3a', 'ym9mf5wz', '93hgg2py', 'i7vtddsj', 'zizyxb6y', '8h1sqopi', '7xqmuoye', 'd7q7m7zz', 'cusk2t80', 'xzbooifg', 'mwttkclk', 'lqy65715', 'w32agvoj', 'daqm1s3z', 't0hjgjqn', 'bk31jtyy', 'kc6dls2z', '1pwlctxb', 'bmmlep1s', 'mb9ofh12', 'mkjdjxy6', 'mu73bu7u', 'v1sju4zj', 'xs5cqse8', 'rdm2ks69', 'ts2tsua7', 'p5ixvjd7', 'zdmb6tc9', 'fpb7a7ke', '1nxfh9yt', '5znm0mq5', 'u6uqroi0', 'p536yuvi', 'mx534xbx', 'bwfrjrr9', 'roj3om68', '511u9hex', 'g484ymy9', 'vws16z0j', 'yy3x8yx9', 'hzb2fkj5', 'xwaycskl', 'wz28xxhn', 'bzd9e1q6', 'ltarht45', 'pj288kr2', '4fqsx5y5', '4fqsx5y5', '4fqsx5y5', '4fqsx5y5', '4fqsx5y5', '4fqsx5y5', '4fqsx5y5', '4fqsx5y5', '4fqsx5y5', '4fqsx5y5', '4fqsx5y5', '4fqsx5y5', '4fqsx5y5', '4fqsx5y5', '4fqsx5y5', '4fqsx5y5', '4fqsx5y5', '4fqsx5y5', '4fqsx5y5', 'e2zyplbi', 'bezpprrk', 'c8x1o9r9', 'q571agza', '5xyt8d5u', 'pajy2vky', 'o13w3qj8', '4vecipdw', '7ru6tapp', 'hn6wni8d', '6xqqo991', 'aojar5bs', 'z9tk3bhi', 'uzmj8zki', 'ql1tthyr', 'hj5zcw2v', '4yc2pd2r', 'pebee47s', 'h80iowrh']"
"Our study shows that camostat mesylate blocks infection of cells with SARS-CoV-2-like particles and with authentic, patient-derived SARS-CoV-2. ","['zvkxormv', '8fuj072z', 'ryksi3zz', '34qqxkby', '8e50vgyi', 'daprgv9i', 'unwxxt8s', 'kl5aqzw2', 'pzgl5ouz', 'xrb8zibf', 'sva2otk4', '54czyntw', 'fmckn6xl', '28zss0l2', 'bdm7yvn1', 'e13xm0mh', 'nmwdjfzb', 'bq7hemvr', 'nha5mvm3', 'imgjl21b', '0ice22z1', 'l4ci8wr2', 'jyaj80l3', '213c705a', 'kbt5gdyy', '15wxk8lt', '9ksg2g2f', 'k6ef33p2', 'ns2pfiua', 'jtaz1gdp', '2nruf2g7', '2fs8oui2', 'uaaj66xq', 'np38qyls', 'q8yh2zvv', 'o8oapxpz', 'mw7kslcf', 'uadsd7q8', 'xif1wgkt', 'gylxdjvi', 'xkmkwsbv', 'tvi1tkvw', 'bhcrjyp0', 'hd4qul4t', '3j5gwsu2', 'hz9jnni3', 'kam36p8n', 'uyim084w', 'es0cmutk', '20529jww', '7w19xxlq', 'kx4x2g24', 'r3a3cnnh', 'e419m4nd', 'hbr4seeh', 'j5xmw3kn', 'g3lfclfi', 'zb3ok9b8', '1xglujqk', 'dtwstwbe', '8vqnwi3k', 'vlxv2qm4', 'tgimcej6', 's742ogi5', 'xg8tmibr', '24vw77qg', '04nvemzf', 'l21qnohq', '8t0jvrts', 'cej0guuc', '7f69swqy', '914y3je0', 'c82oqkbg', 'z6ijli9c', 'vjz4tbh9', 'gmp6lapx', '46tkedw7', 'a6ogjh92', '3ohdj7th', 'qyj7z7c3', '5p6i50f4', '8l1vfsbc', 'bhp2d6z5', 'hgp3csuv', 'v8l5cj5h', '7gees992', 'xp9d9xlm', 'pp5h06eo', 'byjd8w4c', '7hyelm88', 'yw87btb3', 'gz4ur4xb', '3pxo0j42', 'nrzjedhi', '4xu61mrp', 'nppe3k4j', 'fg99m8xo', 'akb96git', '4ki38sfi', 'ir94hdej']"
Mask wearing and social distancing for COVID-19 may be slowing influenza spread,"['8z6nmmyq', 'peppszqx', 'e4pr78n0', 'k9yi4ee5', 'zox6efyn', 'vthn6zjr', 'iu1d9i57', 't78ubii9', 'oqq92ke1', 'cr659fgk', 'rvqkwhgy', '48ouatnf', '1dh40uxp', 've1fgnyg', 'lnv8yi9l', 'cranqd1y', 'ndtao4cw', 'oomxlk75', 'jq2em42q', 'nyhn2cme', '0b6dsdct', 'b22s00es', '6yu02snn', 'r5g5jwr6', '344hgezd', 'n0nch8he', 't70lnidk', 'x9d7g5kb', '944gun8o', 'vdp8od6m', 'zv4jnvy1', 'y2zcwcic', 'cwz7dojg', 'gwh3vc9y', 'h6ngg7ea', '952a4n71', 'x40l8ljx', 'vz3v07oc', 'ron8oqrn', 'n1n4dmwd', 'eqo633am', '4f0f9mc9', 'z6upi7y2', 'y80mighh', 'j5jr3cvw', 'bf77759d', 'in3pyyue', 'zpthhysu', 'gi6bzymv', 'vs1zu7z5', 'axymuyev', '85chebix', 'hki4acid', 'h9tgkboe', 'qruchc17', 'iaiosjlu', '23mw5ttj', '5ghslfgt', 'ts3ra09u', 'wsn7y3wr', 'p1jeiljo', 'lejn9z0y', 'ma59lb5v', 'rs3t4akx', '1ucvy0io', 'jb57e0w6', '5zg3xr69', '6wqxcshu', 'j1ma6r50', '883y61q5', '0javg3m8', 'ereh4ub8', 'qpufvt3o', 'yd7mw17d', '615sdkpr', '39mfts0g', 'u3dndf9m', '3yi44xfe', 'eom7gu40', '0o79m08j', 'pxzsntfg', 'cfmyf8bj', 'd92pd744', 'i4jg0s53', '6tod4abn', 'apjwnwky', 's21obnqy', 'ew4diub5', '9tqzcsr2', '0xymzkzn', 'aqr55a9h', 'zukjh1hr', '41d7343o', 'uscvgmdh', 'pdxo6xj7', '87ba4k4r', 'qpqesuu6', 'baxxcyji', '2fdtwu8o', '7cmyfxu9']"
"The pandemic coronavirus will wane with warmer weather, like some other respiratory","['d3658hhx', '8z0xypmf', '9ntko07h', 'oe8z49c0', 'kxecvnay', 'itrv27tm', 'iqu4fu1t', 'r73krc75', 's5lailkp', '69wk591l', 'j2bfelxo', 'w2q5468y', '3wc2xkh1', 'i47fgp6q', 'xtoem66z', '3l7duk21', 'kpjp0sx4', 'ohj8qxx4', 'z91sksce', 'vt55973n', 'mubjm22l', '3h1o0oz3', 'l1jkfdfy', '2p9j4ksy', 'fn3dl994', 'cpjlzutk', '0s11tdgd', '65fwk37s', 'c5x8pz5d', '6ik5g5nh', '5jccb3nh', 'ak5q5px1', 'xtoem66z', 'xtoem66z', 'xtoem66z', 'xtoem66z', '4k0cebly', '7hjzzxtm', '6zpk86h6', 'hwmg4l41', '3y47oszt', '8leknnvc', 'izltn367', '87rzw6cv', 'ydbp79wa', 'ycch15k8', '1pfqgvie', 'j0pfz0pd', 'rex8gz53', 'st1epx6u', 'a21ub1e9', 'c0jkyvnc', '0wn0pn4q', 'nivcea89', 'dl194hu8', 'cxiac4pm', 'laa0s57e', 'mrtpihc7', 'i1w9qbl5', '40tgyur8', 'fen2yodv', 'vodo51a7', '5quoa15h', 'lv8dvdp7', 'r2rnnsfh', 'xtoem66z', 'xtoem66z', 'xtoem66z', 'xtoem66z', 'xtoem66z', 'xtoem66z', 'rwj3h4gm', '3bvtcdja', '614cr5th', 'tptuwi53', '7imhiq98', 's4gfbsqy', '3jth2pu4', '631ge8pf', 'asq9os2v', '10l6kx3e', 'zi98dq1v', 'mvof320m', 'd5yak1fv', '5m4lppi4', '7950xjmv', 'xp7k7q8j', 'btiy6jhr', 'kg0dmgq0', 'f0bx58nq', '91otsemm', '04awj06g', 'dcifzudk', 't6gqa48n', 'ln9xw11k', 'rs0y48ob', '7fhm9xdo', 'r6dkcq1c', 'q8t2ukc3', '89y4bfsc']"
"Some people with diabetes, a disease that affects the body's ability to produce or use the hormone insulin to reduce glucose (sugar) in the blood, may be concerned about being at higher risk of getting COVID-19. However, this is a misconception.","['umhj7nk7', '14w8bsza', 'wfk36w82', 'gwefujal', 'vjl43cgk', 'dm9nefdg', 'v07oosd2', '5mw29sdn', '6kz0iws6', 'dmbc8kb4', 'o5n11nxr', 's5xgbzx1', '0v1onx2q', 'rhoo2k3r', '8gkh7se3', 'auicxks8', '801pz0ia', '0tsefy6p', 'q5qkqipv', 'eas75gr6', 'q8d7rvnj', 'nn0td6xk', 'rzxgb3h0', 'a97um9x5', 'favl5s7u', '81smmv4b', 's1bal0lg', 'u2v1w99n', 'lfdeowsl', 'odnpx3ib', 'kvif099b', 'pbuevs5v', 'idc29nlc', '4cipqqwa', '7ik3iszp', 'rydgncys', 'avqa4wmw', 'sjdiytl8', '34qqxkby', '1dus0u4m', 'rouf3dng', 'ms56v9hn', 'gmbxwup2', 'uaoh7pkk', 'hzb2fkj5', '9x4pbm1t', '4l3ok44o', 'ikofof8j', 'e0092ewa', 'wfz010d5', 'zaxo5wgs', '6jw0p7kb', 'vpqiu4mb', 'it3ubxdw', '9vsi8hfx', '8s0702vd', 'ean2xrnf', '0mita7bw', 'dgl7qapx', 'lt05gzbf', 'n5jgkq0m', '9nbj3ckb', 'fsmk7bai', '0d08vijd', 'okmkgsbr', '8in6s5ak', '0gd01eyu', 'o17f8zci', 'hkg91ivj', 'o6al938h', 'zs86lyxq', 'x0m73786', 'n6x0r58i', 'x1pi1oam', 'xvwcum59', 'ksh8p6vi', '7ilz0gus', 'q1ai1ilp', 'l0pxv2sj', 'qb9pia62', '7rmgysjl', '3m52te5m', '3ou75q6l', 'bpmqa1g5', 'deqiets2', 'ibpyqrq4', 'd88vf1vh', 'bwghyhqx', 'crr1kzkp', '4ddljc1t', 'dgis935x', 'x5uqc9de', 'zcdkohu6', '5yekz98d', 'gd5am2xu', 'mh17w5kh', 'y3sdqckk', 'y3489g72', 'vbfdxoc2', 'iqe6sdq2']"
Vitamin D appears increase COVID-19 mortality rates ,"['73c66c6h', '1gcubssd', '27oqmd89', 'ix7q2nxn', 'lqrkwlnb', 'a8h7irel', 'a0asoy8j', 'rormqigs', 'wzxorv0a', '39saijjp', '8dgngwmw', 'tdjkkeh2', 'dbujiqb1', 'rirzes0m', 'i3f24wut', 'z16d3rnm', '7uo407nb', 's006vxzk', '6pndpjrt', 'bujydnde', 'een09dzg', 'yd4e28ke', 'qsg18lbc', '4qxh85c0', 'wfz010d5', '4qsqxjcr', 'px824osm', 'r13sjgvq', 'rtkb45lx', '5zbzm1b0', 'cfztliqj', '83hisxro', '6x50bflx', 'z6cp42aa', 'xvz7va8c', '58va9ae8', '7y6dfrg8', '5rfxis6f', '2nftsv4f', 'z3teb4al', 'uxs9tiuk', 'kagn2qy1', '4jfr98wl', 't7qk6evo', 'ss18o9fi', '8ikiyqkp', '35rq2kio', 'tw6f5h2q', 'qr8bzp4r', 'tujwrpkr', 'e8mwinib', 'egntml7e', 'eob22inx', '43i5gkqs', '2prrjqvj', '464v4g8o', 'l3y7l1bm', 'd7hpwoto', '07r4kyb3', 'vu7lwypg', 'bwnbfpew', 'd2wru211', 'plf6zcrg', 'ke1l83wc', 'gkd1h8yi', 'dueignot', 'hi6ikita', 's82tyeis', '92p8dmha', '5342lyeu', '11hi1jel', 'bs0qpjf4', 'z20lcsrg', 'dc8z4jzo', 'f39onw1k', 'hunizsir', 'jxc065co', '0pdgzsdd', 'ymcrbzha', '6ipzvryb', 'dn9yilvz', 'osjwrlhy', 'ah5k7v2e', 's5284unz', 'puzk6p4v', '98exwrgg', '4fathdpi', '0szlsvf4', '09n4wfl1', 'ot3antq2', 'fm0dwft0', 'dcozjvzi', '0o3wjvpx', 't5xw59jt', '02bk8vtk', 'z7pfmkvy', 'uipazeve', '3fsl5589', 'edb5546o', 'qslc2wry']"
Dexamethasone cures covid-19,"['r0jm1zbd', 'kkpaovhh', '0jiekhxa', '91b3mm6c', 'd7usd034', 'buz3o8x9', 'za0y7mrq', 'gigah4xo', 'idta8vnq', 'x6kogzbe', 'd5l3yefi', 'k9l5x6j1', 'd130d5to', 'qd3alhhq', 'a9pvugjt', '0ig32f8k', 'sntjx76i', 'dqmaoq9t', 'abwczxhc', 'zf4kwm1i', 'q3tc522t', 'esjmr1is', 'y6jw3gws', 'kwz1ywyp', '107tikwq', 'p63o45zu', 'ztd7awzv', '731smixj', 'xw0o5ca7', 'gfskwmh4', 'hre694a3', 'lliix0hj', 'sz104hse', '6cgajmb8', 'x09n56na', 'sp5irqp8', '291kyeo5', 'mq4f1srs', 'x6fk8vqj', 'ghfrwccu', 'g78fh7vk', 'icnjhhyy', 'rffp6qe2', 'lokj2170', '3eub8fs2', 'q4sm3oy9', 'iemzdfyf', 'nag78skl', 'cdctlduc', '40fz5r90', '11mqfexf', 'l24422kd', 'ev9p2apu', 'difzsqxq', 'cwzcjb1q', '123i465d', 'txoc927o', 'atxk09kq', 'joag8f39', 'fmt3354i', 'h2hhn9es', '92ipp5ge', '4ng44jk8', 'rcpfdygq', 'mtap0bkz', 'i94yyqwa', 'r54nk0n1', '6v6p2gh3', '44siaypt', '0gfxy9z6', 'p54ir4rr', 'kp8mv3bq', 'pkw9r0i7', 'gmlbbw9u', 'g8aqmbx5', 'rk5it6oq', 'cmssf5tw', 'zr9g47ai', 'iguhy1z8', '8u7vtvln', '4xk1jf0v', 's4mfegv7', 'xnlzhssz', '738881m2', 'ee22gcx1', '3qbhzquj', 'x78iory5', 't22hwoeb', 'qwub35cd', 'gd5am2xu', 'wofyftrs', 'b4ot9i2a', 'o15bf7eh', 'kxbjtyjv', 'igw288oj', 'we9oekt4', 'cgf5zgau', 'amowivbl', 'ouy4i5a6', '9h9w46eq']"
SARS-CoV-2 is more stable on plastic and stainless steel than on copper and cardboard,"['b69ai0sp', 'vhtwfq89', 'rk5dm24m', 'rhfwbyav', 'i5cizz5i', 'xz7g9oca', 'ce01hla8', 'ofaf9up7', 'daprgv9i', '8zerjwa0', 'tgjg5ntc', 'hq846hko', 'znoqwj7p', 'm6u54tfq', 'bl5d4xkc', 'i7yiqoqo', 'cjodifx7', 'leirrg9x', 'swdojn3a', 'e90wvwyy', 'y17puao2', '8fuj072z', 'icjt8bbw', 'h81b4imf', '22gzjnor', 'hgg33kwz', 'ysoojuwt', 'g6z5of2v', 'ac38yvcn', 'pqrq6s4j', 'i5ntnvxm', '8dm6ju5x', '3g4gzu3g', 'qp3ianzf', 'pfj50ftg', 'nyywr9ao', 'l4ci8wr2', '37ut42d5', '6xigeg3m', 'if53s671', 'yobfltm5', 'nsp53lv6', '79pkzgz7', 'sjysmq7q', '7twc3fdm', 'vw5no61j', 'fb1zgn7e', 'evodle3x', 't8q99tlq', 'ausfl6fy', 'dqour5jr', '2jr07rgj', 'fnxickg7', '22gzjnor', '22gzjnor', '22gzjnor', '22gzjnor', '22gzjnor', '22gzjnor', '22gzjnor', '22gzjnor', '22gzjnor', 'obv5p285', 'y5p4y4z4', '2veit5ol', 'rc3ev3dw', '22gzjnor', '22gzjnor', '22gzjnor', '22gzjnor', '22gzjnor', '22gzjnor', '22gzjnor', '22gzjnor', '22gzjnor', '22gzjnor', 'gbualtl1', 's9u8im8f', 'u04cxiej', 'frgeh7re', 'p1bs1b0q', '7tbb9zht', 'c1qrickg', 'z7iowcgj', 'eu1szjnx', '6w13xo2a', '5m4lppi4', 'btiy6jhr', 'dtwstwbe', '9w9xsw1o', 'xhsmfjt5', 'jbpmbm9m', '87fruomm', 'mri8gg9p', '8s8gezpz', '5v17k2d8', 'unnrrnvr', 'y5y4dbm1', 'o7vsh40b', 'shd6ulbe']"
"people who died of COVID-19, acute respiratory failure was the leading cause of death","['s6j6x5nx', 'lv7bwsz5', 'tygyp55h', 'g8h6cpzr', '3ubjrz8j', 'z2jdiee1', 'uighyghy', 'otp1atui', '0a1vx8x2', 'sl4upyan', '5ps6pw6c', 'gsy95f2y', 'potywnko', 'wywhmeow', '34je017c', 'in363ryr', 't59xrpey', 'ldxgfz1e', 'lrxskcnp', 'ydrh5sd9', '61gwf3mo', '213c705a', '6vxtpn90', 'o7vcovt0', 'ilw3tals', '4gl5xe1w', 'as9l70dn', 'qk7qg8mw', 'nkr9g0cu', 'wgpu4dyw', '8lqjl0ee', '7djbjro7', 'zl93fezj', 'z4zxs5na', '9vsi8hfx', '247fspnb', 'gk45wj3k', 'ya5ku3eu', 'cona7opy', '8heicyda', '1hv4frdf', '8kx9j6lo', '7cffbss4', 'cv11zf9t', 'w94b4aft', '7cqisuw6', 'd6nwum75', 'yv96f8pp', 'texk4z76', 's4xtsbec', 'rh29mtrm', 'myb4m5q0', '6pqk0b4m', 'sokaqrkd', '34oh1tm5', '97j1gt5k', '79uefjom', 'j6vl33k1', 'p1iktm9v', 'ldeiqbgi', 'onyryfty', 'w8bpzb8q', 'ayzwwqg1', 'ynxqgwet', 'kdou7za8', 'md0avnqg', 'pfzklmyw', 'jubmw1ta', 'td6hlh0b', '4kp29vu2', 'okpd08wb', 'gm4i3snl', 'kpjp0sx4', 'yhml687p', 'ihciswq4', 'y07xjnpe', 'tp6qq2pu', 'w1bzxtff', 'up81jotp', 'dmffqcq7', 'pby3i6wq', 'gtp01rna', 'bt22e2av', '550roktv', '5fq57ma3', '43vjs6v6', 'v451z3jq', 'rlg7mp18', 'tirw6l1c', '79uefjom', '79uefjom', '79uefjom', '79uefjom', '79uefjom', '79uefjom', '79uefjom', '79uefjom', '79uefjom', '79uefjom', 'bg4sb0lg']"
social distancing can not help you to avoid catching a virus,"['s5b9q5n0', 'us0qpw0m', 'e4pr78n0', '7myp73qk', 'jhkc8of3', '8nw2adde', 'oomxlk75', '3clh1zv6', 'f5p37j7g', 'vthn6zjr', 'wr4r7jd8', 'lnv8yi9l', 'cranqd1y', 't78ubii9', 'ndtao4cw', 'rvqkwhgy', 'dspx4o3k', 'q4jn5h00', 'kxsy16bc', 'ngsstnpr', 'osrc4t7x', '4dzkdgi8', 'g55dbysx', 'rzh7ja6a', '254z62e4', 'tkyrv1qv', 'r5g5jwr6', 'svjajpp4', 'gwh3vc9y', 'lr0ma85f', 'eqo633am', '0b6dsdct', 'whzf6rh3', 'n0nch8he', 'id09wfxp', 'rj38qrtq', 't1k4u3el', 'auzkfh8b', '2j591gq0', 'vdp8od6m', '72oh3vze', 'h9tgkboe', 'jb57e0w6', 've1fgnyg', 'bf77759d', 'p1jeiljo', 'sg5uwuqc', 'fac4ic30', 'qev9sryo', 'y2zcwcic', 'b22s00es', '5zg3xr69', 'xtfjw1ag', 'yd7mw17d', 'f4gg3dc3', 'wolrseqc', 'o8d40jt0', 'simnnffe', '6i7kg4mj', 'pezfy4m1', '5m4bxb9d', 'hwjds6uf', '32ckrt0s', 'in3pyyue', 'gi6bzymv', '4bne9qup', '825mzhg6', 'ba39kp8l', 'aiah8kkn', 'tjjuokec', '3yi44xfe', 'w77w6x5z', 'ts3ra09u', 'coih174d', '41d7343o', '6a6njt3u', 'uo89h8z7', 'm8njzrnv', '8yvu9xhw', 'irdbj3ca', 'cfmyf8bj', 'wsn7y3wr', 'lejn9z0y', '8do4tojk', 'bqq88zib', 'o5cmhvy3', 'iwk60zex', 'fx2dbld5', '68amlriw', 'xdiaog83', 'e4hbz84s', 'q99dh3c8', '31jzsl2y', 'hyaidcjp', 'kwy9puxo', 'z470rn66', 'xtpa84h2', 'i4jg0s53', '31jszjzo', 'plgip4h6']"
Coronavirus does not cause heart Damage,"['1695z0s5', 'wenp9sgs', 'pbrty9jn', '2tstixkj', 'djmmt7gd', 'e9aw0qt7', 'bb7qw7k6', '99q1bhba', 'sdjqth8d', 'p9j34wry', '8q5ondtn', 'k0kud80s', 'x2d85l4s', 'oiiwy07v', 'r2rkw9be', '6i7b1i5x', '8fcj3c3q', 'ch0kexqg', 'zyif2247', '0rrgyskk', '3uzvefy8', 'qz9gntu1', 'm817oudw', 'ou8jo2d4', '09udwx4l', 'b80dzg2i', '7yaakx42', '31v9gvd8', '1kdc6xk8', 'ld2a1gnv', 'utgnwox8', 'nytwp4rj', '7oklxq3f', 'e4uaw5fy', 'pnjhtmma', 'k8kn4v5t', 'ngxy58tg', 'ihciswq4', '6uwh1xo3', '4d3r9rj8', 'odzoh3yo', 'gfp1ys1c', '0eucsyej', 'kc0s3v3r', 'lde5efnw', '4dnuilqg', 'mhinfmal', 'rl483cg9', 'zofttbse', 'rnn2p19c', 'sy9zd884', 'bjdkod56', 'l0o1weus', '85s0bb94', 'zt9fg3qs', 'h5sjj1ls', '9e5eaxxe', 'yhml687p', 'gtp01rna', '1dx2ox4n', 'j8048in3', '8bpy4fpt', 'zl93fezj', '3h7l26na', 'sgj806vv', '975u2k0s', 'cioyd71h', 'evj862a3', 'e6qbi08l', '7td7jbt7', 'cefkq9fq', 'cz1wt68c', '368pz09b', 'nf28saj8', '2mgv9j6n', 'a8tiywdw', 'mpturrja', 'qbhw4k3z', 'sopzwy35', 'wk2jynv1', 'cgdcsazr', '5er37cdx', '84z9fp2u', '54vyzxjf', '7f2pc07i', 'rlj1bclg', '4wawxldp', '3zu4g5mf', 'fteom1pt', 'gtruu1op', '1b3g0ls3', '8ylu96ge', '92hyxezl', 'ukosdnsa', 'j5zr528a', 'z3rm1pqe', 'n1gbmjwz', 'ngpsgn63', 'p7iraa2k', 'kg0agjee']"
ACE inhibitors and angiotensin receptor blockers may increase the risk of severe COVID-19,"['pbuevs5v', '7lyccvm5', 'zp95v63n', 'f7pf3jfs', 'o5uvb9yp', 'xnu55d2t', '7lyccvm5', '7lyccvm5', '7lyccvm5', '7lyccvm5', '7lyccvm5', '7lyccvm5', '7lyccvm5', '7lyccvm5', '7lyccvm5', '7lyccvm5', 'llzfc1r7', 'r8j4ufgm', 'ztc4qx6d', 'e3clp17r', '0svdq020', 'ecg9z64l', '7lyccvm5', '7lyccvm5', '7lyccvm5', '7lyccvm5', '7lyccvm5', '7lyccvm5', '7lyccvm5', 'c3mclbgp', 'mclozg5p', '1k49tbga', 'bwg3tzx8', 'nxrg9fi6', '1aal6njl', 'kxtxzt9f', 'xajjv760', '8gkh7se3', '4rmbfgo2', 'q5qkqipv', 'wumtwdi5', 'xzb0sw2z', '3xpu1x9h', 'pknvtj3q', 'tphkjqii', 'hk25tivi', 'mqhowppc', 'q3tlpkxm', 'm4alj6l6', '34hc3ulc', 'w2bhtu9f', 'x1kankxd', '2jye7sgv', 'hynkb0a8', '1xi976ss', 'qrsqk2fc', '82m84n4w', 'ps9xawlp', '7necpu7c', 'vv9ssqb8', 'z6s4diei', '8n4dlkjo', 'ozivguhq', '7lonkj5p', 'ubhntliy', 'lmrr4hde', 'y4h95kb4', 'fdjjl1h7', 'm2l42lvl', '67j4gamu', 'mi0pmyo4', 'cldc2gfl', 'cok92g9y', 'i7scw9mu', '6xlb7bfa', 'yjugtbg1', '4oa9hfb4', 'tvxvm740', 'rxmpi61o', 'd6arv0nl', '10l12wgu', 'bxli7sdh', 'p37rw8dh', 'v8tfxd6a', 'gz3stv4l', 'xmhsky0z', '5mfmqmc4', 'jnp2ldcj', 'bgt7n2pq', 'h6nw9bx6', 'icjt8bbw', 'gm9564re', 'uyarxbdo', 'roj3om68', 'fa28f88t', '61xioybu', '7xzlcsbv', '1pahpghb', 'mt0fi88r', 'k925dtlj']"
even wearing non-medical grade masks or face coverings would have a profound effect in limiting coronavirus transmission,"['ropgq7tr', 'fpps1ux6', 'xhlc1jdk', '1vcc1khg', 'gocycb7u', 'hl956i02', '6ky4t76g', 'xzx54drg', 'gin90aef', '397m2zpp', 'nnbrp3oo', 'q76jxc3p', 'jb455t9p', '9fuiind8', 'u01rztok', 'ou7w3zkv', 'kq0oeicl', 'bz9cx6vn', 'b4znk2wr', 'x9sfgtim', 'ncjdsbn4', 'ohj8qxx4', 'qfvxyb5e', '77tww0a8', '4mxt8vm2', 'gbvyuem5', 'l007frxa', 'iylmvmv3', 'jkoegawm', 'zwnthdrs', 'hxdwodoq', 'ntfa1tcs', 'hm1108y6', '28utunid', 'swlkjtyo', 'hwjds6uf', 'kl9huu33', '0en2sl3q', '4fun73ne', 'bbc07wq0', 't697xw4y', 'n0emewpt', '9b6cepf4', '4dzkdgi8', 'lyob5wfv', 'x938errh', 'hiierdmt', 'ocb8wbhc', 'unpcyp5w', '28utunid', '28utunid', '28utunid', '28utunid', '28utunid', '28utunid', '28utunid', '28utunid', '28utunid', 'iynumlk0', 'zv4jnvy1', 'uc37poce', 'zzumi9h5', 'o6dd2vu1', 'f7rcijh4', 'moldq0u9', 'bdi36szd', '7qgxzugb', 'o5esfwf4', 'oi290bsa', 'qov24scu', '5b9jytph', 'lmyco6k2', '02difyxn', '3y8gc1eh', 'umvrwgaw', 'hy0ut8kf', 'iha9gjt4', 'pxzc7fdi', 'rworkqzc', 'v5w60bb3', 'dt2pew66', '28utunid', '28utunid', '28utunid', '28utunid', '28utunid', '28utunid', '28utunid', 'eom7gu40', '443tznq3', 's823mver', '5x6xjuew', '06y1ihvn', 'bwmpamea', 'ndy59p5p', 'krh7p1tg', 'h2ahzau7', '05w4l6ta', 'mdewdbqs', 'icp4msxk']"
The science is clear: Face masks can prevent coronavirus transmission and save lives.,"['8z6nmmyq', 'lqrkwlnb', 'iok3oscr', 'astxi4el', '3fkg2a6v', '9v4ohvvq', '2u5zxc2i', 'r5du3x4v', 'fgnrujsf', 'fonn8xgd', 'lcni52ig', 'zc7oxui5', 'ttykqyde', '9pb2eqoa', '4mxt8vm2', '08vsaov7', 'hl956i02', 'b27xeyy3', 'gdbwxxlr', '0lxzrk8l', '6ky4t76g', 'ou7w3zkv', 'ntfa1tcs', 'kksrzvuk', '64of642e', 'h8f85qx5', 'na54ad45', 'njei8dj8', 'g0v43z1o', 'wq5xe8ty', 'sbr9qd0k', 'gprvoecp', '0en2sl3q', 'jkoegawm', 'fn64o0id', 'ys7azmv7', 'px9c20il', 'lyob5wfv', 'p8lu5mc0', '4fun73ne', 'rmbavm9i', 'fryrs7vx', 'z70oduir', 'dvhuwm7c', 'c4u0gxp5', 'ev9p2apu', 'no8bgglk', 'x938errh', 'c0lsetbb', '498dsj82', 'm5sisjgj', 'hiierdmt', 'ejg393zs', 'dvnb90dz', '91zxeqwy', 'db97z3nl', 'zzumi9h5', 'ydrdvdif', 'u5dajiqg', '334hmwmj', 'mqtw9x3i', 'zv4jnvy1', 'hmzohhkn', 'iha9gjt4', 'f7rcijh4', 't697xw4y', 'fdvn0cbh', 'xds1t447', 'cerqbsox', 'bhnh2dq4', 'moldq0u9', 'ocb8wbhc', '7qfdyzsh', '021zmucy', 'xucprtpl', 'c2nkp1gq', 'lrlkhr61', '0javg3m8', 'gg1ko6x1', '8otl3781', 'zwyueevh', 'z6si7vr1', 'yc8fadg8', 'o5esfwf4', '824ts76a', '1w0dd54t', '49it5pha', 'qdamvwxl', '8ko7mmu3', 't1omeg91', 'w2c01295', 'fctcfoak', 'mu7b7ul7', 'oa5pd9b0', 'gnj24lnx', 'w4q75grn', 'umvrwgaw', '3s2g3o81', 'g2uywktg', '019lj813']"
